ResponseId,StartDate,why_join,future_plans,stay_in_class,tools_RStudio,tools_tidyverse,tools_ggplot,tools_python,tools_spacy,tools_nltk,tools_pandas,know_ML,know_LDA,know_embeddings,know_transformers,know_dialogActs,know_dependency,know_bagOfWords,know_NER,know_crossValidation,know_PCA,know_lasso,know_kmeans,know_sentiment,know_GPT,group_project,pros,cons,other
10001,08/01/2025 10:22,To learn the way to deal with text information. I usually find it’s hard to quantify text information and even have no idea about it.,We always find the information only included text. But we need to quantify it or use other ways to analysis the information. I want to use it in my final project or even later when working.,8,5,1,4,3,1,1,4,1,1,1,1,1,1,1,1,1,1,1,2,1,4,"Product reviews, news articles","Detailed way to quantify different kinds of text, and how to classify them.",Cannot pass the exam because it is too new for me,
10002,08/01/2025 11:25,I am interested in it,Trying to use it in the final project,8,4,1,4,4,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,5,Hope I can pass it!,Learning something new!,Too hard,hope you can teach knowledge step by step
10003,08/01/2025 14:06,the course content seems to be attractive and interesting to me,"enhance the efficiency of working by applying coding to some extent, using text to evaluate the information found in large corpora.",7,3,3,3,2,1,1,2,4,1,2,1,1,1,1,1,3,1,1,4,2,4,"product reviews, employee reviews, customer service",how to turn text into data and how it helps with the analysis,the difficulty level of coding,If mock papers or exam-style questions can be provided before the final exam
10004,08/01/2025 14:08,"Interesting, any might be helpful for my future career",Creating a small script to summary articles.,8,2,1,2,3,1,1,3,3,1,2,1,1,1,2,1,3,1,1,4,2,4,"product reviews, employee reviews, customer service",New techniques about text and the implementation ,How to write codes about text instead of numbers,"Tell us more about the exam, like the mock papers"
10005,08/01/2025 15:16,I joined a project which used NLP before. The group included two parts. I'm for business analysis and my friends major in CS did the coding things. I was curious about what they did. So now I want to simply study something about it.,"A lot. Statistics, ratings, fundamental analysis, etc.",7,2,1,2,3,1,1,2,2,2,2,2,1,1,2,2,2,1,1,1,2,3,"product reviews, earnings calls",Learn the principles of text mining and enhance coding skills.,Too hard the coding and knowledge for me to complete. ,Not yet
10006,08/01/2025 15:24,"I think this course is the most applicable among all the courses. Since I am already facing the need to find a job at the graduate level, I hope that the knowledge I have learned can be applied in my future work. I think extracting effective information and data from the overwhelming text information on the Internet is an important information retrieval ability that can be used in all aspects of work, so I chose this course.",Not sure yet,6,3,1,2,2,1,1,2,2,1,1,1,1,1,1,1,3,1,1,3,1,4,"customer service, articles",master the ability to searching and attracting efficient information,not good at coding ,maybe no
10007,08/01/2025 16:53,I want learn how to extract valuable information from public unstructured data to direct financial decisions.,I want to learn this course as a start point for me to learn more about how to use LLM to understand public financial document and use that to help me make financial decisions.,8,4,1,2,5,1,1,5,3,1,1,2,1,1,2,1,2,2,3,3,2,5,"News related to financial field, from medias such as financial times",Coding!!!!!!!!,Also Coding!!!!!!!!,N/A
10008,08/01/2025 17:02,"Learn about more coding applications, namely learning unsupervised machine learning algorithms.",For analyzing data based on text to infer trading decisions.,5,2,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,"Using unsupervised ML algorithms to analyze Fed Funds announcement, or earnings calls to make more systematic algotrading decisions.",Applying what we learn to Python.,"Using R, since the industry mostly uses Python, instead of R.",The industry actually uses Python instead of R. So it will be useful to focus more on Python (VS Studio etc) instead of R.
10009,08/01/2025 16:51,"The text mining knowledge is associated with machine learning. I consider this knowledge will helpful in my future career, because this tech can allow me to mine more useful financial information for company.","This technology can allow me to mine more useful information in an efficient way, which can assist me to improve the investment(like more accurate stock price prediction). ",7,3,1,3,3,1,1,3,3,1,1,1,1,1,1,1,3,2,3,3,1,5,product reviews,financial report data analysis,work with different teammates,
10010,08/01/2025 17:19,want to learn more about coding,Using R ,6,3,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,Maybe product reviews ,Learn more about coding by R and try to use it in the future.,Afraid to make a group with other,None
