review_id,text,stars_rishi,price_rishi,gender_rishi
XxRfwkKi-FjwM8qsbXVNbw,"The only reason why I sometimes end up here is because there are not really that many alternatives in the vicinity (Dunkin' Donuts is not doing it for me) -- but I always regret having eaten unhealthy fastfood the moment I exit the restaurant. Next time, I'll better go to Star Market next door, buy some food, and prepare it myself. Or avoid this area around lunchtime altogether.",4,1,female
V7RTSW9nVIk6cI-Uqy0r9Q,"You do not go to the Greenhouse Coffee Shop expecting a gastronomical event.  You go to the Greenhouse Coffee Shop for a delicious piece of chocolate cake and some coffee.  You go expecting sticky tables and spots on your silverware.  You eat your cake, you look out the window watching the brilliant mix of Harvard Squares and you eat your tight cake.     Gary read a few things on poor service and Gary needs to speak out.  The man who brought a delicious mountain of chocolate cake to Gary's table was probably the sweetest man ever.  He was quick with coffee refills, made friendly banter, and even cut Gary a deal on the a la mode (sometimes you need a little something extra with your chocolate cake mountain).  When asked about the location of the bathrooms, Gary will admit his chocolate cake smile turned momentarily into a frown.  However, the waiter was quick to point out alternative bathroom locations thus turning Gary's frown right back upside down.    As for the no credit issue?  Gary burned off a whopping 3.4 chocolate cake calories jaunting to the ATM across the street and used the change to cart his bloated, sugar coma self back home in a taxi.",2,1,female
iLTXPskInwzcEoz0Wy6zig,"It is nothing short of a miracle if this place is open.    My girlfriend loved the lentil soup she once had at this place.     So we tried to visit this place at various times, and irrespective of when we went (believe me, we tried going at all kinds of times) - it used to be closed.    Maybe they were renovating or something then - I dont know, whatever it was, it did not make great business sense.    Anyway this once when we managed to find it open (we were really excited to go in, I remember), we had the lentil soup again (this time it was ok, clearly there is not much consistency in the cook's recipes).     But should say that the food was not too bad. I think we had some veggie soup as well, and that was also not bad.    5/10 for the food, 0/10 for their hours.",2,1,male
NwzmjuZ16KjOXS8YJ-TBQg,"There are only 3 spaces in front for people like me who want to take their food to go but aren't lazy enough to go through the drive ""thru"".    Of those 3 spaces, a manager-looking employee is parked in one - screwing over the customers.  Big parking lot in back. Employees don't park in prime customer spaces!    As for ordering, why do I have to recite my order to a guy who is pressing the same buttons I could press?   Why not self serve registers?  The guy fucjed up my order. I can do that myself and have no one to blame.  Honestly, why hire people who can't understand English to speak English to people who are twice as intelligent as the guy fukcing up the order?  Waste of a paycheck.  They should all be cooking, prepping & serving not taking orders.  GROCERY STORES HAVE SELF SERVE.  WHY NOT HERE?  AIRPORTS, PRINT YOUR OWN TICKET KIOSKS.    Why create a  faulted step between the customer and their order?????",4,2,male
3f7zOzoas29aWtEpZ91UPg,"I've eaten here before about four and a half years ago before I moved to Asia, and it wasn't bad.  I remember the place being pretty good.  I was thinking about taking the subway to the Theater District to P.F. Chang's for two orders of lettuce wraps, and I should have gone to P.F. Changs. Anyway, it has the typical Sports Bar Menu. I asked for unsweetened ice tea, took a sip and said, ""Hey, what's wrong with this tea."" It isn't brewed and it tasted like crap. It was a mix, so I bought a Stella Artois draft. OK. Because I was in Boston I ordered a crock of clam chowder ($6) and it was pretty good, except that it hat too many potatoes in it. Then I ordered a large salad with grilled shrimp($12). Terrible. The shrimp was grilled frozen shrimp and the rest of the salad was sadly bad. I am used to a good sports bar in CT, the Wood N' Tap, and this place suffers by comparison. I would have given it 1 star, but the clam chowder wasn't horrible.",2,1,male
lQu8y5Dton8ucgvptwh_EQ,"The food is below average. The service is OK and I guess if you want to drink some beers then it's fine, but it seems that it's such a waste of real state space.  I wish the mayor of Cambridge would try to revamp Kendall Square by opening better restaurants. Why is it that MIT doesn't get cool restaurants like Harvard? Not fair.",4,1,female
g3_FPQW2lK0k67HFUAWzug,"The same guys behind the Sapporo in Porter Sq. bring another location to the food court of the shiny new H Mart. Now you can have mediocre ramen at Porter or even worse food at higher prices here.   Noodles are the same: medium-thin wavy that are too soft.   House broth is still the chicken/veggie, which is decent with OK flavor and body. The Miso is still tasteless. Two additions here are a Shio and I believe some sort of Tonkotsu (called Central). The Shio uses the same house broth but just gets more salt dumped into it. Blech. I have not tried the Central because about 2 weeks after opening, it and the Shio have not been available anymore. ""Sold Out"" on the menu board. Probably a good thing to get rid of them.  Pork is done differently here. You get one thicker slab that is charred on a side. Kind of tough without much flavor.    With this new outlet Sapporo firmly cement themselves at the bottom of the list for area ramen. C'mon guys, this isn't the 1990's when you were the only players around. Can't get away with lousy ramen anymore.",2,1,male
yrOF3bn45U-eK04LgzhlxQ,Rather disappointing. The house ramen broth had a bad meat flavor. The spicy ramen was dull. $23 for two bowls of is a rip-off.,4,2,female
AAVwqnUVZLu8fnQ-CXwiKA,"Serious competition to Brookline Spa for best tuna sub in the Boston area.  Cheap, close-ish to Kendall and Lechmere, and fast, this has just about everything I could want from a sandwich shop.  Stay the way you are!",2,1,female
HeR3xoaUaQ3lUd4PuhAiOA,"Some of the best NYC style pizza I've found in the area, and interesting topping options too.",2,1,male
